56 0
1027 5
1077 11
1481 21
2069 1
2097 3
259 0
309 0
765 1
815 2
1068 2
1118 3
1233 4
222 1
272 1
718 1
768 1
1021 2
1071 3
1186 3
2604 8
3552 10
3602 10
537 1
587 1
7004 19
112 1
296 0
613 1
782 2
2917 3
3042 5
1259 1
1384 2
743 1
868 1
2351 5
370 0
370 0
370 0
370 0
5093 43
7364 49
10142 62
10267 66
296 0
1225 1
1275 3
112 0
296 0
613 1
782 1
2595 3
2645 5
5373 12
5498 17
18978 100
2042 2
2070 3
16516 14
16714 26
35838 148
631 0
645 1
844 3
4678 7
4706 12
4986 16
5822 21
537 1
587 2
775 1
825 2
8603 35
757 1
222 0
272 0
1774 2
1802 4
2275 4
456 0
661 1
5891 4
6293 8
6888 13
6917 16
7129 16
7334 18
9148 21
9177 23
6071 4
6739 9
7480 15
7532 16
7614 19
17551 45
18075 49
532 0
724 1
929 2
532 1
737 1
2734 4
2763 6
2899 8
580 0
115 1
7097 6
7461 10
8288 16
8308 17
8588 18
8914 20
9261 21
9466 22
1198 0
1227 2
1439 2
1644 4
1278 1
1307 2
1557 3
1762 4
14014 33
14043 37
14377 40
15053 44
15789 48
267 0
1700 1
1729 2
2063 4
2268 5
1795 1
1824 2
2158 4
2363 5
1920 2
1949 4
2283 6
2488 6
628 0
680 1
1576 4
1605 4
1855 6
2136 6
10395 30
10424 35
10712 41
11190 46
11613 52
8798 6
9162 12
9909 19
9938 21
10188 22
10393 23
494 0
323 0
959 1
494 1
323 0
959 2
494 1
323 0
959 2
494 1
323 0
959 2
494 1
323 0
959 2
494 0
323 1
959 2
494 0
323 0
959 3
494 1
323 0
959 1
494 1
323 0
959 1
12227 23
12591 30
13338 37
13367 39
13617 40
13822 41
7430 4
7794 9
8389 17
8418 19
8668 20
8873 21
191 0
7259 6
7547 10
7822 16
8224 17
9195 18
9224 20
9436 22
9641 22
1240 0
418 0
470 1
2238 4
2290 5
3224 7
3253 9
3503 11
3708 13
789 0
228 0
10247 7
10687 13
10818 21
11188 22
11530 24
12415 26
13576 29
13781 31
1178 0
228 0
12299 9
12777 17
12908 25
13278 27
13704 29
14901 31
16451 35
16656 37
78312 202
78341 213
78477 227
428 0
342 0
394 0
1395 2
513 0
470 1
1125 2
646 1
698 1
586 0
638 1
586 0
638 1
2838 6
361 0
413 0
361 0
413 0
361 1
413 1
361 0
413 0
361 1
413 1
361 0
413 1
361 0
413 0
361 0
413 1
361 0
413 0
14351 15
14639 24
15386 34
15415 34
15749 36
18395 39
22788 54
24194 59
25839 67
26120 72
26460 77
26984 83
28344 89
28373 95
28509 100
1784 1
1852 2
1784 1
1852 2
1784 1
1852 2
1784 1
1852 1
1784 1
1852 2
1784 1
1852 2
1784 1
1852 2
1784 1
1852 2
1784 2
1852 2
22622 26
23204 34
23744 41
23822 42
24583 44
24661 45
25092 46
25170 48
25365 50
26092 52
26170 52
26551 54
26878 55
814 0
892 1
1633 2
1960 2
30578 61
30655 63
30909 67
187 0
2143 1
2220 2
3483 3
3560 5
4666 7
4993 9
5479 10
5999 11
1196 1
1274 1
496 0
574 1
496 0
574 1
683 1
761 1
496 1
574 1
372 0
450 0
187 0
1629 1
1706 2
2457 3
2977 4
372 0
450 0
4626 7
4703 8
17690 32
17767 36
18642 40
1328 1
1406 1
1539 2
496 0
574 1
1310 1
1388 1
4891 7
876 1
1327 1
1328 1
1406 1
1539 2
930 1
1008 1
1248 1
1326 1
876 1
1327 1
1030 1
1108 1
2107 2
2557 4
2760 5
2812 6
2864 8
844 1
922 1
3916 3
4242 5
8440 16
8518 18
8651 20
682 0
760 0
1248 1
1326 2
20436 38
20513 44
20767 48
683 0
1030 1
1108 2
2107 4
2557 6
2760 8
2812 11
2864 13
844 1
922 1
3916 4
4242 6
7546 23
7873 25
373 1
1030 1
1108 1
2425 3
3131 4
3963 6
4413 8
4616 10
4668 12
5101 14
844 0
922 1
5615 4
5941 6
11482 25
11809 27
21422 57
21499 62
22001 68
23017 73
23960 77
558 0
636 1
1645 1
1972 3
1312 1
1119 0
558 0
636 1
1056 1
1134 1
3098 4
4550 5
6247 9
7705 12
9740 17
10067 20
14160 28
14237 32
14491 36
1876 1
2326 2
2529 3
2581 4
868 0
946 1
1707 2
1785 2
2216 4
2294 4
2489 6
1713 1
1790 2
2230 3
2680 4
2883 5
2935 6
1186 1
1389 1
2063 2
3350 2
3676 4
1713 1
1790 2
2230 2
2680 4
2883 5
2935 6
2054 1
2122 3
3748 4
3816 6
4248 8
4451 8
22824 46
620 1
1116 1
1514 39
2352 40
2778 41
2856 42
3679 43
4006 44
434 1
512 1
5347 4
5425 8
6383 11
6461 15
7540 19
7867 23
8271 5
8348 12
1465 1
1542 2
1465 1
1542 2
4034 6
4112 7
682 0
885 1
937 2
